,Country,Gender Development Index (GDI),Human Development Index (Female),Human Development Index (Male),Life Expectancy at Birth (Female),Life Expectancy at Birth (Male),Expected Years of Education (Female),Expected Years of Education (Male),Mean Years of Education (Female),Mean Years of Education (Male),Estimated Gross National Income per Capita (Female),Estimated Gross National Income per Capita (Male),Continent,Gender development
174,Gambia,0.889,0.414,0.466,61.6,58.9,8.7,8.9,2.0,3.7,1267.0,1753.0,Africa,average
175,Congo (Democratic Republic of the),0.833,0.39299999999999996,0.47200000000000003,60.1,57.2,8.6,10.8,4.5,7.7,597.0,765.0,Africa,low
176,Liberia,0.789,0.387,0.491,61.8,59.9,8.9,12.4,2.6,5.8,678.0,930.0,Africa,low
178,Mali,0.7759999999999999,0.363,0.46799999999999997,57.8,58.2,7.5,9.3,1.5,2.7,961.0,2195.0,Africa,low
179,Mozambique,0.8809999999999999,0.39,0.44299999999999995,56.5,53.6,8.8,9.8,2.4,4.3,1040.0,1210.0,Africa,average
180,Sierra Leone,0.8140000000000001,0.37,0.45399999999999996,51.4,50.4,7.2,10.0,2.2,4.0,1582.0,1981.0,Africa,low
181,Guinea,0.778,0.358,0.46,59.2,58.3,7.3,10.0,1.4,3.7,877.0,1314.0,Africa,low
182,Burkina Faso,0.8809999999999999,0.376,0.42700000000000005,59.9,57.3,7.4,8.1,1.0,1.9,1325.0,1859.0,Africa,average
183,Burundi,0.9109999999999999,0.381,0.418,58.7,54.8,9.6,10.7,2.2,3.1,693.0,825.0,Africa,average
184,Chad,0.768,0.33799999999999997,0.44,52.7,50.5,5.9,8.9,1.0,2.9,1657.0,2513.0,Africa,low
186,Central African Republic,0.773,0.303,0.392,52.6,48.8,5.9,8.6,2.8,5.7,476.0,689.0,Africa,low
187,Niger,0.7290000000000001,0.287,0.39399999999999996,62.4,60.6,4.8,6.1,0.8,2.0,491.0,1319.0,Africa,low
